filepath,class,split
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130333.jpg,Apple,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728125957.jpg,Apple,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728125932.jpg,Apple,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130349.jpg,Apple,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130624.jpg,Apple,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130019.jpg,Apple,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130342.jpg,Apple,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130401.jpg,Apple,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130523.jpg,Apple,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130120.jpg,Apple,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130522.jpg,Apple,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130637.jpg,Apple,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130134.jpg,Apple,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130153.jpg,Apple,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130157.jpg,Apple,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130402.jpg,Apple,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130246.jpg,Apple,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130340.jpg,Apple,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130513.jpg,Apple,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130504.jpg,Apple,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130304.jpg,Apple,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130254.jpg,Apple,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130344.jpg,Apple,val
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130405.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130241.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130426.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130459_01.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130341.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728125949.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130040.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130228.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130351.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130156.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728125958.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130324.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130322.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130608.jpg,Apple,train
data\Processed Images_Fruits\Mixed Qualit_Fruits\Apple\IMG20200728130309.jpg,Apple,train
